Covered Entity Name,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
"Newport Harbor Pathology Medical Group, Inc.",CA,Healthcare Provider,119341,2025-01-10,Hacking/IT Incident,Network Server,No,
Samaritan Counseling Center of the Fox Valley,WI,Healthcare Provider,956,2025-01-10,Hacking/IT Incident,Email,No,
"BayMark Health Services, Inc.",TX,Business Associate,3170,2025-01-08,Hacking/IT Incident,Network Server,Yes,
Eastern Idaho Public Health,ID,Healthcare Provider,759,2025-01-07,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Medusind Inc.,FL,Business Associate,701475,2025-01-07,Hacking/IT Incident,Network Server,Yes,
DentaQuest,WI,Health Plan,868,2025-01-06,Unauthorized Access/Disclosure,Paper/Films,No,
"Pediatric Home Respiratory Services, LLC d/b/a Pediatric Home Service",MN,Healthcare Provider,41792,2025-01-06,Hacking/IT Incident,Network Server,No,
North Los Angeles County Regional Center,CA,Business Associate,500,2025-01-06,Hacking/IT Incident,Network Server,Yes,
"Ingham County Medical Care Facility, d/b/a Dobie Road",MI,Healthcare Provider,3078,2025-01-05,Hacking/IT Incident,Electronic Medical Record,Yes,
Buffalo Surgery Center,NY,Healthcare Provider,64000,2025-01-04,Hacking/IT Incident,Network Server,No,
The Plastic Surgery Center,NJ,Healthcare Provider,64813,2025-01-03,Hacking/IT Incident,Network Server,No,
Watsonville Community Hospital,CA,Healthcare Provider,30312,2024-12-31,Hacking/IT Incident,Network Server,No,
"Legacy Treatment Services, Inc.",NJ,Healthcare Provider,29898,2024-12-31,Hacking/IT Incident,Network Server,No,
"Tycon Medical Systems, Inc.",VA,Healthcare Provider,112847,2024-12-30,Hacking/IT Incident,Network Server,No,
Omaha Surgical Center,NE,Healthcare Provider,1110,2024-12-30,Hacking/IT Incident,Email,No,
Dragonfly Health,AZ,Business Associate,501,2024-12-27,Hacking/IT Incident,Email,Yes,
Polaris Endeavors,FL,Healthcare Provider,4552,2024-12-24,Hacking/IT Incident,Network Server,No,
Khalil Foundation (DBA Khalil Center),IL,Healthcare Provider,1153,2024-12-22,Unauthorized Access/Disclosure,Network Server,No,
"Effortless Office Enterprises, LLC",NV,Business Associate,3112,2024-12-20,Hacking/IT Incident,Network Server,Yes,
"HealthEquity, Inc.",UT,Business Associate,1549,2024-12-20,Hacking/IT Incident,Network Server,Yes,
Richmond University Medical Center,NY,Healthcare Provider,674033,2024-12-19,Hacking/IT Incident,Network Server,No,
"PracticeSuite, Inc.",FL,Business Associate,13000,2024-12-17,Hacking/IT Incident,Network Server,Yes,
"Regional Care, Inc.",NE,Healthcare Clearing House,225728,2024-12-17,Hacking/IT Incident,Network Server,No,
California Correctional Health Care Services ,CA,Healthcare Provider,1416,2024-12-17,Loss,Paper/Films,No,
Kitsap Mental Health Services,WA,Healthcare Provider,500,2024-12-16,Hacking/IT Incident,Network Server,No,
Teton Orthopaedics,PA,Healthcare Provider,13409,2024-12-16,Hacking/IT Incident,Network Server,No,
"Summit Medical Group, PLLC",TN,Healthcare Provider,464159,2024-12-13,Hacking/IT Incident,Email,No,
Northwest Asthma and Allergy Center,WA,Healthcare Provider,1000,2024-12-12,Hacking/IT Incident,Email,No,
"El Paso Healthcare System, Ltd. d/b/a Las Palmas Del Sol Healthcare",TX,Healthcare Provider,1854,2024-12-11,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Community Connections ,DC,Healthcare Provider,18949,2024-12-11,Hacking/IT Incident,Network Server,No,
River Region Cardiology,AL,Healthcare Provider,48600,2024-12-11,Hacking/IT Incident,Network Server,No,
Atrium Health,NC,Healthcare Provider,585959,2024-12-02,Unauthorized Access/Disclosure,Network Server,No,
Texas Tech University Health Sciences Center El Paso,TX,Healthcare Provider,815000,2024-11-25,Hacking/IT Incident,Network Server,No,
Texas Tech University Health Sciences Center,TX,Healthcare Provider,650000,2024-11-25,Hacking/IT Incident,Network Server,No,
Citadel of Northbrook,IL,Healthcare Provider,2155,2024-11-25,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,
"American Addiction Centers, Inc.",TN,Business Associate,410747,2024-11-25,Hacking/IT Incident,Network Server,Yes,
Conceptions Reproductive Associates of Colorado,CO,Healthcare Provider,80000,2024-11-25,Hacking/IT Incident,Network Server,No,
Lubbock County Hospital District,TX,Healthcare Provider,1461776,2024-11-22,Hacking/IT Incident,Network Server,No,
"East Central Missouri Behavioral Health Services, Inc.",MO,Healthcare Provider,20000,2024-11-21,Hacking/IT Incident,Network Server,No,
York County ,PA,Healthcare Provider,841,2024-11-20,Hacking/IT Incident,Email,No,
Laboratory Services Cooperative ,WA,Healthcare Provider,501,2024-11-20,Hacking/IT Incident,Network Server,No,
AuthoraCare Collective,NC,Healthcare Provider,57944,2024-11-19,Unauthorized Access/Disclosure,Network Server,No,
Terrace of Hialeah,FL,Healthcare Provider,1177,2024-11-18,Hacking/IT Incident,Network Server,Yes,
"Dolton Nursing & Rehab, LLC",IL,Healthcare Provider,1559,2024-11-18,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,
"HealthFund Solutions, LLC",FL,Business Associate,5198,2024-11-15,Hacking/IT Incident,Email,Yes,
"ESHA, Inc.",TX,Business Associate,76922,2024-11-15,Hacking/IT Incident,Network Server,Yes,
"Maternal Fetal Medicine Associates, PLLC, Carnegie Hill Imaging for Women, and Carnegie Women’s Health (collectively, “the Practices”)",NY,Healthcare Provider,501,2024-11-15,Hacking/IT Incident,Network Server,No,
ASPEN HEALTHCARE SERVICES INC,TX,Healthcare Provider,7195,2024-11-15,Hacking/IT Incident,Electronic Medical Record,No,
Physicians' Primary Care of Southwest Florida,FL,Healthcare Provider,500,2024-11-14,Hacking/IT Incident,Network Server,No,
Rocky Mountain Gastroenterology Associates PLLC ,CO,Healthcare Provider,366491,2024-11-13,Hacking/IT Incident,Network Server,No,
"Radiologic Medical Services, P.C.",IA,Healthcare Provider,56902,2024-11-12,Hacking/IT Incident,Email,No,
Humboldt Independent Practice Association (Humboldt IPA),CA,Healthcare Provider,500,2024-11-11,Hacking/IT Incident,Email,No,
"United Seating and Mobility, LLC dba Numotion",TN,Healthcare Provider,2319,2024-11-11,Hacking/IT Incident,Email,No,
Mid-Minnesota Management Services d/b/a Central Resources,IL,Business Associate,1232,2024-11-08,Unauthorized Access/Disclosure,Other,Yes,
Huron Inc. Health Plan,MI,Health Plan,750,2024-11-08,Unauthorized Access/Disclosure,Network Server,No,
"South West Family Medicine Associates, PA ",TX,Healthcare Provider,36959,2024-11-07,Hacking/IT Incident,Network Server,No,
Great Plains Regional Medical Center,OK,Healthcare Provider,133149,2024-11-07,Hacking/IT Incident,Network Server,No,
"Mohawk Valley Cardiology, P.C.",NY,Healthcare Provider,4973,2024-11-04,Unauthorized Access/Disclosure,Other,No,
"Northeast Professional Home Care, Inc.",OH,Healthcare Provider,648,2024-11-01,Hacking/IT Incident,Email,No,
"Brain & Eye Connection Vision Clinic, PC",OK,Healthcare Provider,2207,2024-11-01,Hacking/IT Incident,Network Server,No,
Rockford Gastroenterology Associates ,IL,Healthcare Provider,147253,2024-10-30,Hacking/IT Incident,Network Server,No,
"Hawaii Radiologic Associates, Ltd. ",HI,Healthcare Provider,23205,2024-10-25,Hacking/IT Incident,Network Server,No,
Gandara Mental Health Center ,MA,Healthcare Provider,20024,2024-10-24,Hacking/IT Incident,Network Server,No,
"Northeast Spine and Sports Medicine, LLC",NJ,Healthcare Provider,6300,2024-10-24,Hacking/IT Incident,Network Server,No,
Mystic Valley Elder Services - Business Associate,MA,Business Associate,2402,2024-10-22,Hacking/IT Incident,Network Server,Yes,
Clay Platte Family Medicine,MO,Healthcare Provider,53916,2024-10-18,Hacking/IT Incident,Network Server,No,
"Advanced Recovery Equipment & Supplies, LLC",NY,Healthcare Provider,56000,2024-10-18,Hacking/IT Incident,Network Server,No,
Detroit Wayne Integrated Health Network,MI,Healthcare Provider,3347,2024-10-18,Hacking/IT Incident,Laptop,No,
RRCA Accounts Management Inc.,IL,Business Associate,115837,2024-10-18,Hacking/IT Incident,"Desktop Computer, Network Server",Yes,
"Summit Pathology and Summit Pathology Laboratories, Inc.",CO,Healthcare Provider,1813538,2024-10-18,Hacking/IT Incident,Network Server,No,
"Valleygate Dental Surgery Centers of Charlotte, Fayetteville, and the West, LLC.",NC,Healthcare Provider,14589,2024-10-17,Hacking/IT Incident,Network Server,No,
Jacksonville Children's Multispecialty Clinics/Atlantic Medical Management ,NC,Healthcare Provider,2224,2024-10-17,Unauthorized Access/Disclosure,Email,No,
"Ad Valorem Records, Inc. ",TN,Business Associate,590,2024-10-11,Unauthorized Access/Disclosure,Paper/Films,Yes,
Wilmington Community Clinic,CA,Healthcare Provider,11601,2024-10-11,Hacking/IT Incident,Network Server,No,
"TheraCom, L.L.C.",PA,Healthcare Provider,9271,2024-10-08,Hacking/IT Incident,Network Server,No,
Schneider Regional Medical Center,,Healthcare Provider,1570,2024-10-07,Hacking/IT Incident,Network Server,No,
"Ciox Health LLC, d/b/a Datavant Group",AZ,Business Associate,320702,2024-10-07,Hacking/IT Incident,Email,Yes,
"ATSG, Inc",NY,Business Associate,909469,2024-10-04,Hacking/IT Incident,Network Server,Yes,
Omni Family Health,CA,Healthcare Provider,468344,2024-10-04,Hacking/IT Incident,Network Server,No,
"Dr. Daniel J. Leeman, M.D.",TX,Healthcare Provider,50000,2024-10-04,Hacking/IT Incident,Network Server,No,
"Texas Spine Consultants, PLLC ",TX,Healthcare Provider,8048,2024-09-26,Hacking/IT Incident,Email,No,
"Asheville Arthritis and Osteoporosis Center, P.A.",NC,Healthcare Provider,58251,2024-09-20,Hacking/IT Incident,Network Server,No,
Muskogee City County Enhanced 911 Trust Authority,OK,Business Associate,180000,2024-09-20,Hacking/IT Incident,Network Server,Yes,
"Jacobsen Construction Co., Inc. Health Plan",UT,Health Plan,2127,2024-09-20,Hacking/IT Incident,Network Server,No,
"Southern Bone & Joint Specialists, PA (“Southern Bone”)",MS,Healthcare Provider,7162,2024-09-17,Hacking/IT Incident,Email,No,
Rim Country Health and Rehabilitation ,AZ,Healthcare Provider,720,2024-09-16,Hacking/IT Incident,Email,No,
Maryville Academy,IL,Healthcare Provider,500,2024-09-13,Hacking/IT Incident,Network Server,No,
Atrium Health,NC,Healthcare Provider,32120,2024-09-13,Hacking/IT Incident,Email,No,
"Nationwide Recovery Services, Inc.",GA,Business Associate,501,2024-09-09,Hacking/IT Incident,Network Server,Yes,
Welcome Health,CA,Healthcare Provider,597,2024-09-06,Hacking/IT Incident,Email,No,
"EngageMED, Inc ",AR,Business Associate,249297,2024-08-30,Hacking/IT Incident,Network Server,Yes,
Minnesota Department of Human Services,MN,Healthcare Provider,4329,2024-08-30,Hacking/IT Incident,Email,No,
"CODAC Inc dba CODAC Behavioral Health and CODAC Healthcare, LLC",RI,Healthcare Provider,9592,2024-08-27,Hacking/IT Incident,Network Server,No,
Blue Cross and Blue Shield of North Carolina,NC,Business Associate,972,2024-08-27,Hacking/IT Incident,Network Server,Yes,
Pomona Community Health Center dba ParkTree Community Health Center,CA,Healthcare Provider,40964,2024-08-21,Hacking/IT Incident,Network Server,No,
"Excelsior Orthopaedics, LLC",NY,Healthcare Provider,292913,2024-08-21,Hacking/IT Incident,Network Server,No,
"VeriSource Services, Inc.",TX,Business Associate,112726,2024-08-20,Hacking/IT Incident,Network Server,Yes,
"Acadian Ambulance Service, Inc. ",LA,Healthcare Provider,2896985,2024-08-20,Hacking/IT Incident,Network Server,No,
"Contents Trader, Inc.",TX,Healthcare Provider,27329,2024-08-20,Unauthorized Access/Disclosure,Network Server,No,
"Kerber, Eck & Braeckel LLP",IL,Business Associate,134918,2024-08-16,Hacking/IT Incident,Network Server,Yes,
"Specialty Networks, Inc. ",TN,Business Associate,411037,2024-08-15,Hacking/IT Incident,Network Server,Yes,
siParadigm LLC,NJ,Healthcare Provider,501,2024-08-09,Hacking/IT Incident,Network Server,No,
"Turning Point of Central California, Inc.",CA,Healthcare Provider,53737,2024-08-09,Hacking/IT Incident,Network Server,No,
"HealthEquity, Inc.",UT,Business Associate,4300000,2024-08-09,Hacking/IT Incident,Network Server,Yes,
"Gramercy Surgery Center, Inc.",NY,Healthcare Provider,52372,2024-08-09,Hacking/IT Incident,Network Server,No,
Pemiscot Memorial Health System,MO,Healthcare Provider,33279,2024-08-09,Unauthorized Access/Disclosure,Electronic Medical Record,No,
" Pocahontas Medical Clinic, PA",AR,Healthcare Provider,31216,2024-08-06,Hacking/IT Incident,Network Server,No,
"Calibrated Healthcare, LLC",CA,Business Associate,6890,2024-08-02,Hacking/IT Incident,Network Server,Yes,
Alabama Cardiovascular Group,AL,Healthcare Provider,280534,2024-08-02,Hacking/IT Incident,Network Server,No,
Wayne Memorial Hospital,GA,Healthcare Provider,2500,2024-08-02,Hacking/IT Incident,Network Server,No,
Roseland Community Hospital Association,IL,Healthcare Provider,500,2024-08-01,Hacking/IT Incident,Network Server,No,
Frilot L.L.C.,LA,Business Associate,501,2024-08-01,Hacking/IT Incident,Network Server,Yes,
Deer Oaks Behavioral Health ,TX,Healthcare Provider,171871,2024-07-31,Hacking/IT Incident,Network Server,No,
Delta County Memorial Hospital District (Delta Health),CO,Healthcare Provider,148363,2024-07-29,Hacking/IT Incident,Network Server,No,
United of Omaha Life Insurance Company,NE,Health Plan,107894,2024-07-26,Hacking/IT Incident,Email,No,
Surgery Center of Mid Florida,FL,Healthcare Provider,48684,2024-07-24,Hacking/IT Incident,Network Server,No,
Sutton Dental Arts,OR,Healthcare Provider,4109,2024-07-22,Hacking/IT Incident,Network Server,No,
"EMS Department for the Kansas City, Kansas Fire Department   ",KS,Healthcare Provider,501,2024-07-20,Hacking/IT Incident,Network Server,No,
"Sun City Pediatrics, PA",TX,Healthcare Provider,4500,2024-07-19,Hacking/IT Incident,Network Server,No,
"Community Counseling of Bristol County, Inc.",MA,Healthcare Provider,44991,2024-07-19,Hacking/IT Incident,Network Server,No,
"Change Healthcare, Inc.",MN,Business Associate,192700000,2024-07-19,Hacking/IT Incident,Network Server,Yes,
Fairfax Radiological Consultants ,VA,Healthcare Provider,3512,2024-07-12,Hacking/IT Incident,Network Server,No,
School Employees' Benefit Trust,IN,Health Plan,1371,2024-07-05,Hacking/IT Incident,Network Server,Yes,
Palomar Health Medical Group,CA,Healthcare Provider,1140221,2024-07-03,Hacking/IT Incident,Network Server,No,
Ascension Health,MO,Healthcare Provider,5466931,2024-07-03,Hacking/IT Incident,Network Server,No,
"Atlanta Perinatal Consultants, LLP",GA,Healthcare Provider,1508,2024-07-02,Hacking/IT Incident,Network Server,Yes,
Regional Obstetrical Consultants PC,TN,Healthcare Provider,25650,2024-07-02,Hacking/IT Incident,Network Server,No,
"Georgia Kidney Associates, Inc.",GA,Healthcare Provider,9940,2024-06-28,Theft,Other,No,
Geisinger,PA,Healthcare Provider,1276026,2024-06-21,Unauthorized Access/Disclosure,Network Server,Yes,
"The Lash Group, LLC",PA,Business Associate,15196,2024-06-21,Hacking/IT Incident,Network Server,Yes,
Radiology and Imaging Specialists,FL,Healthcare Provider,37210,2024-06-17,Hacking/IT Incident,Email,No,
"Neurobehavioral Medicine Consultants, P.C.",OH,Healthcare Provider,18182,2024-06-14,Hacking/IT Incident,Network Server,No,
IBEW LOCAL 236 WELFARE FUND,CT,Health Plan,3217,2024-06-11,Hacking/IT Incident,Network Server,Yes,
ASBESTOS WORKERS LOCAL 42 WELFARE PLAN,GA,Health Plan,520,2024-06-11,Hacking/IT Incident,Network Server,Yes,
"Signature Performance, Inc.",NE,Business Associate,130228,2024-06-10,Hacking/IT Incident,Network Server,Yes,
Community Alliance Rehabilitation Services,NE,Healthcare Provider,10750,2024-06-07,Hacking/IT Incident,Network Server,No,
Insurance ACE/Humana Inc.,KY,Health Plan,15003,2024-06-05,Unauthorized Access/Disclosure,Paper/Films,No,
Panorama Eyecare,CO,Healthcare Provider,377911,2024-06-05,Hacking/IT Incident,Network Server,No,
Easterseals Central Illinois,IL,Healthcare Provider,14855,2024-05-31,Hacking/IT Incident,Network Server,No,
"AmerisourceBergen Specialty Group, LLC",PA,Healthcare Provider,3102,2024-05-31,Hacking/IT Incident,Network Server,No,
"AmerisourceBergen Specialty Group, LLC",PA,Healthcare Provider,252214,2024-05-24,Hacking/IT Incident,Network Server,No,
A&A Services d/b/a Sav-Rx,NE,Business Associate,2812336,2024-05-24,Hacking/IT Incident,Network Server,Yes,
City of St. Cloud,FL,Health Plan,2273,2024-05-24,Hacking/IT Incident,Network Server,No,
Tri-City Healthcare District,CA,Healthcare Provider,108149,2024-05-23,Hacking/IT Incident,Network Server,No,
"Trionfo Solutions, LLC",IL,Business Associate,81588,2024-05-22,Hacking/IT Incident,Network Server,Yes,
Omni Healthcare Financial Holdings,NC,Business Associate,16852,2024-05-18,Hacking/IT Incident,Network Server,Yes,
Victoria Eye Center/Victoria Surgery Center/Victoria Vision Center,TX,Healthcare Provider,80000,2024-05-17,Hacking/IT Incident,Network Server,No,
"Pope & Conner Consulting, Inc.",WI,Business Associate,1035,2024-05-15,Hacking/IT Incident,Email,Yes,
"Hypertension-Nephrology Associates, P.C. ",PA,Healthcare Provider,39491,2024-05-14,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
"Superior Air-Ground Ambulance Service, Inc. ",IL,Healthcare Provider,1039972,2024-05-10,Hacking/IT Incident,Network Server,No,
"WebTPA Employer Services, LLC (“WebTPA”)",TX,Business Associate,2518533,2024-05-08,Hacking/IT Incident,Network Server,Yes,
Watson Clinic,FL,Healthcare Provider,280278,2024-05-08,Hacking/IT Incident,Network Server,No,
Kenneth Young Center,IL,Healthcare Provider,6842,2024-05-06,Hacking/IT Incident,Network Server,No,
Medical Express Ambulance Inc.  D/B/A Medex Ambulance,IL,Healthcare Provider,121190,2024-05-02,Hacking/IT Incident,Network Server,No,
"United Seating and Mobility, L.L.C., d/b/a Numotion",TN,Healthcare Provider,602265,2024-05-01,Hacking/IT Incident,Network Server,No,
AMERICAN RENAL MANAGEMENT,TN,Business Associate,501,2024-04-29,Hacking/IT Incident,Network Server,Yes,
Signature Healthcare Services LLC,CA,Business Associate,14696,2024-04-27,Hacking/IT Incident,Network Server,Yes,
Empath-Stratum Inc. doing business as  Empath Health,FL,Healthcare Provider,5545,2024-04-25,Hacking/IT Incident,Email,No,
Therapeutic Health Services ,WA,Healthcare Provider,501,2024-04-25,Hacking/IT Incident,Network Server,No,
Kootenai Health,ID,Healthcare Provider,464088,2024-04-24,Hacking/IT Incident,Network Server,No,
"Medical Billing Specialists, Inc.",MA,Business Associate,43673,2024-04-24,Hacking/IT Incident,Network Server,Yes,
NorthBay Healthcare Corporation,CA,Healthcare Provider,569012,2024-04-23,Hacking/IT Incident,Network Server,No,
"Cumberland Heights Foundation, Inc. ",TN,Healthcare Provider,5078,2024-04-19,Hacking/IT Incident,Email,No,
"Bridgeway Center, Inc.",FL,Healthcare Provider,36353,2024-04-19,Hacking/IT Incident,Network Server,No,
"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,13400000,2024-04-12,Unauthorized Access/Disclosure,Network Server,No,
"Gaia Software, LLC",CO,Business Associate,56676,2024-04-05,Hacking/IT Incident,Network Server,Yes,
UNC Hospitals,NC,Healthcare Provider,3142,2024-04-02,Hacking/IT Incident,Email,No,
Delta Health System,MS,Healthcare Provider,216532,2024-03-29,Hacking/IT Incident,Network Server,No,
"Strive Holdco, LLC",TX,Healthcare Provider,51477,2024-03-28,Unauthorized Access/Disclosure,Network Server,No,
Family Health Center ,MI,Healthcare Provider,33240,2024-03-24,Hacking/IT Incident,Network Server,No,
"Mary H. Makhlouf, DMD, MS, PA",NC,Healthcare Provider,1797,2024-03-22,Hacking/IT Incident,Network Server,No,
"Vail Summit Orthopaedics, LLC (“VSON”)",CO,Healthcare Provider,1138,2024-03-04,Hacking/IT Incident,Network Server,No,
"Bradford Health Services, LLC ",AL,Healthcare Provider,28543,2024-02-06,Hacking/IT Incident,Network Server,No,
Bloom Health Centers,MD,Healthcare Provider,1954,2024-02-01,Hacking/IT Incident,Email,No,
Marathon County Special Education,WI,Healthcare Provider,10079,2023-12-20,Hacking/IT Incident,Email,No,
Community Dental,ME,Healthcare Provider,1523,2023-11-17,Hacking/IT Incident,Network Server,No,
Claxton-Hepburn Medical Center,NY,Healthcare Provider,757,2023-11-02,Hacking/IT Incident,Network Server,No,
Premier Health Partners and wholly owned covered entities listed in description section below,OH,Healthcare Provider,10833,2023-10-12,Hacking/IT Incident,Network Server,No,
Shady Lane Nursing Home,NJ,Healthcare Provider,566,2023-02-17,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No,
